"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
49,400,400,200,1,5.89821
64,400,400,200,1,7.58663
81,400,400,200,1,10.5674
100,400,400,200,1,12.6506
124,400,400,200,1,13.8861
4,100,100,200,1,0.472353
9,100,100,200,1,0.701623
16,100,100,200,1,1.12575
25,100,100,200,1,2.22841
36,100,100,200,1,3.68228
49,100,100,200,1,5.57616
64,100,100,200,1,7.146
81,100,100,200,1,10.3744
100,100,100,200,1,12.3353
124,100,100,200,1,12.7319
4,200,200,200,1,0.586044
9,200,200,200,1,0.846836
16,200,200,200,1,1.25377
25,200,200,200,1,2.03133
36,200,200,200,1,3.6038
49,200,200,200,1,5.51266
64,200,200,200,1,7.26763
81,200,200,200,1,11.3511
100,200,200,200,1,13.0768
124,200,200,200,1,12.3801
4,400,400,200,1,1.09985
9,400,400,200,1,1.109
16,400,400,200,1,1.3204
25,400,400,200,1,2.24212
36,400,400,200,1,3.65811
49,400,400,200,1,5.89799
64,400,400,200,1,8.09446
81,400,400,200,1,10.6721
100,400,400,200,1,12.0095
124,400,400,200,1,13.1406
4,100,100,200,1,0.476895
9,100,100,200,1,0.832416
16,100,100,200,1,1.33491
25,100,100,200,1,2.74808
36,100,100,200,1,4.73646
49,100,100,200,1,6.2027
64,100,100,200,1,6.95445
81,100,100,200,1,10.1135
100,100,100,200,1,12.0932
124,100,100,200,1,12.9883
4,200,200,200,1,0.704763
9,200,200,200,1,1.06885
16,200,200,200,1,1.42086
25,200,200,200,1,2.24058
36,200,200,200,1,3.81812
49,200,200,200,1,5.96749
64,200,200,200,1,7.3637
81,200,200,200,1,10.2971
100,200,200,200,1,15.6723
124,200,200,200,1,13.0451
4,400,400,200,1,1.04722
9,400,400,200,1,1.10411
16,400,400,200,1,1.51302
25,400,400,200,1,2.19061
36,400,400,200,1,3.9032
49,400,400,200,1,5.55387
64,400,400,200,1,7.50988
81,400,400,200,1,10.9457
100,400,400,200,1,13.9374
124,400,400,200,1,12.8185
4,100,100,200,1,0.506868
9,100,100,200,1,0.734355
16,100,100,200,1,1.2307
25,100,100,200,1,2.18656
36,100,100,200,1,3.73204
49,100,100,200,1,5.49327
64,100,100,200,1,7.515
81,100,100,200,1,11.043
100,100,100,200,1,13.2482
124,100,100,200,1,12.1547
4,200,200,200,1,0.60674
9,200,200,200,1,0.953889
16,200,200,200,1,1.17583
25,200,200,200,1,2.12991
36,200,200,200,1,3.87729
49,200,200,200,1,5.79689
64,200,200,200,1,7.17315
81,200,200,200,1,10.8281
100,200,200,200,1,12.2092
124,200,200,200,1,12.3481
4,400,400,200,1,1.26491
9,400,400,200,1,1.23642
16,400,400,200,1,1.5954
25,400,400,200,1,2.77045
36,400,400,200,1,4.28538
49,400,400,200,1,5.84303
64,400,400,200,1,7.99635
81,400,400,200,1,11.0492
100,400,400,200,1,12.4976
124,400,400,200,1,13.6993
4,100,100,200,1,0.561399
9,100,100,200,1,0.848118
16,100,100,200,1,1.26943
25,100,100,200,1,2.68083
36,100,100,200,1,3.84398
49,100,100,200,1,5.54958
64,100,100,200,1,7.08213
81,100,100,200,1,44.7597
100,100,100,200,1,12.9138
124,100,100,200,1,13.5443
4,200,200,200,1,0.647009
9,200,200,200,1,0.981846
16,200,200,200,1,1.49408
25,200,200,200,1,2.25824
36,200,200,200,1,3.96851
49,200,200,200,1,6.04778
64,200,200,200,1,7.31196
81,200,200,200,1,10.2734
100,200,200,200,1,12.8724
124,200,200,200,1,13.288
4,400,400,200,1,1.0722
9,400,400,200,1,1.10876
16,400,400,200,1,1.42495
25,400,400,200,1,2.20784
36,400,400,200,1,3.75742
49,400,400,200,1,5.63746
64,400,400,200,1,7.60917
81,400,400,200,1,11.7994
100,400,400,200,1,12.8066
124,400,400,200,1,12.8832
4,100,100,200,1,0.479159
9,100,100,200,1,0.762491
16,100,100,200,1,1.38329
25,100,100,200,1,2.54025
36,100,100,200,1,3.951
49,100,100,200,1,6.02401
64,100,100,200,1,7.34839
81,100,100,200,1,10.5737
100,100,100,200,1,12.3733
124,100,100,200,1,12.1757
4,200,200,200,1,0.631367
9,200,200,200,1,1.03381
16,200,200,200,1,1.31163
25,200,200,200,1,1.98137
36,200,200,200,1,3.76118
49,200,200,200,1,5.49629
64,200,200,200,1,7.16004
81,200,200,200,1,10.4151
100,200,200,200,1,12.1967
124,200,200,200,1,12.3248
4,400,400,200,1,1.04059
9,400,400,200,1,1.09389
16,400,400,200,1,1.31226
